X,Y,id,latitude,longitude,altitude,geometry,city,coordinates,exhibition,full_address,heritage,library,multipurpose,name,ownership,performance,postal_code,province,screen,street_name,street_number,suite,timestamp,ward,n_id
-79.5623677,43.7353615,1,43.7353615,-79.5623677,,Point,,Toronto,,"925 Albion Road, Toronto, ON, M9V 1A6",,,1,Thistletown CC,City Operated,1,M9V 1A6,ON,,Albion Road,925,,1473380419,1,3
-79.58123,43.7393169,2,43.7393169,-79.58123,,Point,,Toronto,,"1485 Albion Road, Toronto, ON, M9V 1B2",,,1,Albion Pool & Health Club,City Owned,,M9V 1B2,ON,,Albion Road,1485,,1473380419,1,2
-79.5839513,43.7397879,3,43.7397879,-79.5839513,,Point,,Toronto,,"1515 Albion Road, Toronto, ON, M9V 1B2",,1,1,Albion Branch (TPL),City Operated,1,M9V 1B2,ON,,Albion Road,1515,,1473380419,1,2
-79.3839474,43.6610366,4,43.6610366,-79.3839474,,Point,,Toronto,,"21 College Street, Office 610, Toronto, ON, M5G 2B3",1,,,Theatre Francais de Toronto - Centre for Creation,Owned by others,1,M5G 2B3,ON,,College Street,21,Office 610,1473380419,1,76
-79.6090198,43.729256,5,43.729256,-79.6090198,,Point,,Toronto,,"203 Humber College Boulevard, Toronto, ON, M9W 5L7",,,1,Humber Arboretum Gardens,City Owned,,M9W 5L7,ON,,Humber College Boulevard,203,,1473380419,1,1
-79.583288,43.7447481,6,43.7447481,-79.583288,,Point,,Toronto,,"2534 Kipling Avenue, Toronto, ON, M9V 3A9",,,1,Thistletown Baptist Church,Owned by others,,M9V 3A9,ON,,Kipling Avenue,2534,,1473380419,1,2
-79.5838288,43.746785,7,43.746785,-79.5838288,,Point,,Toronto,,"2580 Kipling Avenue, Toronto, ON, M9V 3B2",,,1,North Albion Collegiate Institute,Owned by others,1,M9V 3B2,ON,,Kipling Avenue,2580,,1473380419,1,2
-79.5957327,43.7497072,8,43.7497072,-79.5957327,,Point,,Toronto,,"175 Mount Olive Drive, Toronto, ON, M9V 2E3",,,1,Smithfield Community Services,City Owned,,M9V 2E3,ON,,Mount Olive Drive,175,,1473380419,1,2
-79.581313100000017,43.7463319,9,43.7463319,-79.5813131,,Point,,Toronto,,"21 Panorama Court, Toronto, ON, M9V 4E3",,,1,Rexdale Community Hub,City Owned,,M9V 4E3,ON,,Panorama Court,21,,1473380419,1,2
-79.589958600000017,43.734122,10,43.734122,-79.5899586,,Point,,Toronto,,"10 Rampart Road, Toronto, ON, M9V 4L9",,,1,Elmbank Community Centre,City Owned,1,M9V 4L9,ON,,Rampart Road,10,,1473380419,1,2
-79.5598366,43.7313513,11,43.7313513,-79.5598366,,Point,,Toronto,1,"34 Riverdale Drive, Toronto, ON, M9V 1C8",1,,1,Franklin Carmichael Arts Centre,City Owned,,M9V 1C8,ON,,Riverdale Drive,34,,1473380419,1,3
-79.5844929,43.7517681,12,43.7517681,-79.5844929,,Point,,Toronto,,"2 Rowntree Road, Toronto, ON, M9V 5G6",,,1,North Kipling Community Centre,City Owned,1,M9V 5G6,ON,,Rowntree Road,2,,1473380419,1,2
-79.5836105,43.6903376,13,43.6903376,-79.5836105,,Point,,Toronto,,"33 Carlson Court, Toronto, ON, M9W 6H5",,,1,Crowne Plaza Hotel,Owned by others,,M9W 6H5,ON,,Carlson Court,33,,1473380419,2,1
-79.578359,43.6920228,14,43.6920228,-79.578359,,Point,,Toronto,,"650 Dixon Road, Toronto, ON, M9W 1J1",,,1,Toronto Congress Centre,Owned by others,1,M9W 1J1,ON,,Dixon Road,650,,1473380419,2,1
-79.578359,43.6920228,15,43.6920228,-79.578359,,Point,,Toronto,,"650 Dixon Road, Toronto, ON, M9W 1J3",,,1,Doubletree International Plaza Hotel,Owned by others,,M9W 1J3,ON,,Dixon Road,650,,1473380419,2,1
-79.5876065,43.6866977,16,43.6866977,-79.5876065,,Point,,Toronto,,"801 Dixon Road, Toronto, ON, M9W 1J5",,,1,Sheraton Toronto Airport Hotel,Owned by others,,M9W 1J5,ON,,Dixon Road,801,,1473380419,2,1
-79.6194595,43.7287348,17,43.7287348,-79.6194595,,Point,,Toronto,,"850 Humberwood Boulevard, Toronto, ON, M9W 7A6",,1,1,Humberwood Library & Community Centre,City Owned,1,M9W 7A6,ON,,Humberwood Boulevard,850,,1473380419,2,1
-79.571870300000015,43.7208056,18,43.7208056,-79.5718703,,Point,,Toronto,,"2170 Kipling Avenue, Toronto, ON, M9W 4K9",,,1,Msg. Percy Johnson Catholic Secondary School,Owned by others,1,M9W 4K9,ON,,Kipling Avenue,2170,,1473380419,2,1
-79.573366800000016,43.725785,19,43.725785,-79.5733668,,Point,,Toronto,,"2243 Kipling Avenue, Toronto, ON, M9W 4L3",,1,,Rexdale Branch (TPL),City Owned,,M9W 4L3,ON,,Kipling Avenue,2243,,1473380419,2,4
-79.2803694,43.7483926,20,43.7483926,-79.2803694,,Point,,Toronto,,"2239 Lawrence Avenue East, Toronto, ON, M1P 2P7  ",,,1,Winston Churchill Collegiate Institute,Owned by others,1,M1P 2P7  ,ON,,Lawrence Avenue East,2239,,1473380419,2,126
-79.6040759,43.7151594,21,43.7151594,-79.6040759,,Point,,Toronto,1,"555 Rexdale Boulevard, Toronto, ON, M9W 5L2",,,1,Woodbine Racetrack,Owned by others,,M9W 5L2,ON,,Rexdale Boulevard,555,,1473380419,2,1
-79.5654262,43.7110861,22,43.7110861,-79.5654262,,Point,,Toronto,,"123 Rexdale Boulevard, B, Toronto, ON, M9W 0B1",,1,,Northern Elms Branch (TPL),City Owned,,M9W 0B1,ON,,Rexdale Boulevard,123,B,1473380419,2,1
-79.5319278,43.7030744,23,43.7030744,-79.5319278,,Point,,Toronto,,"31 St. Phillips Road, Toronto, ON, M9P 2N7",,,1,St. Philip's Anglican Church,Owned by others,1,M9P 2N7,ON,,St. Phillips Road,31,,1473380419,2,8
-79.5771947,43.7052151,24,43.7052151,-79.5771947,,Point,,Toronto,,"1 Vulcan St. , Toronto, ON, M9W 1L3",,,,Microskills ,Owned by others,1,M9W 1L3,ON,,Vulcan St. ,1,,1473380419,2,1
-79.5838836,43.6601229,25,43.6601229,-79.5838836,,Point,,Toronto,,"2 Elmbrook Crescent, Toronto, ON, M9C 5B4",,1,,Elmbrook Park Branch (TPL),City Operated,,M9C 5B4,ON,,Elmbrook Crescent,2,,1473380419,3,11
-79.5539073,43.6686579,26,43.6686579,-79.5539073,,Point,,Toronto,1,"130 Lloyd Manor Road, Toronto, ON, M9B 5K1",,,1,John G. Althouse CS,City Operated,,M9B 5K1,ON,,Lloyd Manor Road,130,,1473380419,3,10
-79.580209600000018,43.637923099999988,27,43.6379231,-79.5802096,,Point,,Toronto,,"291 Mill Road, Toronto, ON, M9C 1Y5",,,1,Silverthorn Collegiate Institute,Owned by others,1,M9C 1Y5,ON,,Mill Road,291,,1473380419,3,12
